Location,Age_Group,Population,Week,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
All King County,30-39,394262.07,05/13/20 - 05/19/20,2133,2158,80,7,0
All King County,40-49,296609.58,05/13/20 - 05/19/20,1699,1736,65,5,0
All King County,50-59,270375.02,05/13/20 - 05/19/20,1872,1920,53,9,1
All King County,60-69,219475.51,05/13/20 - 05/19/20,1763,1819,43,10,5
All King County,70-79,122090.34,05/13/20 - 05/19/20,1224,1264,29,3,3
All King County,80+,61987.13,05/13/20 - 05/19/20,982,1052,34,9,9
All King County,Unknown,0,05/13/20 - 05/19/20,2,2,0,0,0
All King County,0-9,257228.65,05/20/20 - 05/26/20,242,242,16,0,0
All King County,10-19,254148.03,05/20/20 - 05/26/20,314,315,29,1,0
All King County,20-29,207537.14,05/20/20 - 05/26/20,1323,1342,44,5,0
All King County,30-39,394262.07,05/20/20 - 05/26/20,1701,1731,63,1,0
All King County,40-49,296609.58,05/20/20 - 05/26/20,1358,1387,50,4,1
All King County,50-59,270375.02,05/20/20 - 05/26/20,1600,1637,37,9,0
All King County,60-69,219475.51,05/20/20 - 05/26/20,1550,1588,31,10,5
All King County,70-79,122090.34,05/20/20 - 05/26/20,1083,1114,14,5,2
All King County,80+,61987.13,05/20/20 - 05/26/20,721,761,25,12,11
All King County,Unknown,0,05/20/20 - 05/26/20,1,1,0,0,0
All King County,0-9,257228.65,05/27/20 - 06/02/20,219,219,17,0,0
All King County,10-19,254148.03,05/27/20 - 06/02/20,335,336,26,0,0
All King County,20-29,207537.14,05/27/20 - 06/02/20,1214,1231,75,0,0
All King County,30-39,394262.07,05/27/20 - 06/02/20,1798,1819,71,6,0
All King County,40-49,296609.58,05/27/20 - 06/02/20,1565,1589,67,4,2
All King County,50-59,270375.02,05/27/20 - 06/02/20,1945,1992,47,4,1
All King County,60-69,219475.51,05/27/20 - 06/02/20,2040,2084,21,6,3
All King County,70-79,122090.34,05/27/20 - 06/02/20,1481,1519,13,1,2
All King County,80+,61987.13,05/27/20 - 06/02/20,894,951,21,14,9
All King County,Unknown,0,05/27/20 - 06/02/20,3,4,1,0,0
All King County,0-9,257228.65,06/03/20 - 06/09/20,246,248,16,0,0
All King County,10-19,254148.03,06/03/20 - 06/09/20,422,423,30,1,0
All King County,20-29,207537.14,06/03/20 - 06/09/20,2314,2330,59,2,0
All King County,30-39,394262.07,06/03/20 - 06/09/20,2582,2617,65,3,1
All King County,40-49,296609.58,06/03/20 - 06/09/20,2034,2066,38,4,0
All King County,50-59,270375.02,06/03/20 - 06/09/20,2293,2330,39,5,1
All King County,60-69,219475.51,06/03/20 - 06/09/20,2251,2296,24,3,2
All King County,70-79,122090.34,06/03/20 - 06/09/20,1475,1511,10,6,3
All King County,80+,61987.13,06/03/20 - 06/09/20,961,1005,11,3,5
All King County,Unknown,0,06/03/20 - 06/09/20,2,2,0,0,0
All King County,0-9,257228.65,06/10/20 - 06/16/20,346,347,22,2,0
All King County,10-19,254148.03,06/10/20 - 06/16/20,786,786,20,1,0
All King County,20-29,207537.14,06/10/20 - 06/16/20,4543,4593,90,2,0
All King County,30-39,394262.07,06/10/20 - 06/16/20,4546,4584,69,2,0
All King County,40-49,296609.58,06/10/20 - 06/16/20,2730,2758,38,2,0
All King County,50-59,270375.02,06/10/20 - 06/16/20,2856,2894,26,2,1
All King County,60-69,219475.51,06/10/20 - 06/16/20,2649,2698,31,6,2
All King County,70-79,122090.34,06/10/20 - 06/16/20,1634,1683,22,5,4
All King County,80+,61987.13,06/10/20 - 06/16/20,915,953,20,4,4
All King County,Unknown,0,06/10/20 - 06/16/20,9,9,0,0,0
All King County,0-9,257228.65,06/17/20 - 06/23/20,439,442,22,0,0
All King County,10-19,254148.03,06/17/20 - 06/23/20,998,1014,46,1,0
All King County,20-29,207537.14,06/17/20 - 06/23/20,5234,5304,148,1,0
All King County,30-39,394262.07,06/17/20 - 06/23/20,5252,5317,131,6,0
All King County,40-49,296609.58,06/17/20 - 06/23/20,3070,3131,87,6,0
All King County,50-59,270375.02,06/17/20 - 06/23/20,2979,3036,64,4,0
All King County,60-69,219475.51,06/17/20 - 06/23/20,2610,2664,33,6,2
All King County,70-79,122090.34,06/17/20 - 06/23/20,1598,1640,13,3,1
All King County,80+,61987.13,06/17/20 - 06/23/20,1006,1056,19,9,4
All King County,Unknown,0,06/17/20 - 06/23/20,11,11,0,0,0
All King County,0-9,257228.65,06/24/20 - 06/30/20,549,552,29,0,0
All King County,10-19,254148.03,06/24/20 - 06/30/20,1503,1537,163,0,0
All King County,20-29,207537.14,06/24/20 - 06/30/20,6068,6165,315,3,0
All King County,30-39,394262.07,06/24/20 - 06/30/20,5025,5094,153,9,0
All King County,40-49,296609.58,06/24/20 - 06/30/20,3091,3139,97,9,0
All King County,50-59,270375.02,06/24/20 - 06/30/20,3115,3164,87,5,0
All King County,60-69,219475.51,06/24/20 - 06/30/20,2625,2687,39,12,0
All King County,70-79,122090.34,06/24/20 - 06/30/20,1693,1753,19,4,1
All King County,80+,61987.13,06/24/20 - 06/30/20,1256,1325,26,9,3
All King County,Unknown,0,06/24/20 - 06/30/20,6,6,0,0,0
All King County,0-9,257228.65,07/01/20 - 07/07/20,638,642,41,0,0
All King County,10-19,254148.03,07/01/20 - 07/07/20,2236,2338,142,1,0
All King County,20-29,207537.14,07/01/20 - 07/07/20,6949,7193,366,3,0
All King County,30-39,394262.07,07/01/20 - 07/07/20,5418,5524,196,5,1
All King County,40-49,296609.58,07/01/20 - 07/07/20,3365,3430,97,3,0
All King County,50-59,270375.02,07/01/20 - 07/07/20,3429,3483,97,13,0
All King County,60-69,219475.51,07/01/20 - 07/07/20,2586,2641,50,7,3
All King County,70-79,122090.34,07/01/20 - 07/07/20,1496,1547,30,6,0
All King County,80+,61987.13,07/01/20 - 07/07/20,1080,1140,23,6,8
All King County,Unknown,0,07/01/20 - 07/07/20,6,6,1,1,0
All King County,0-9,257228.65,07/08/20 - 07/14/20,784,788,48,0,0
All King County,10-19,254148.03,07/08/20 - 07/14/20,2084,2118,130,0,0
All King County,20-29,207537.14,07/08/20 - 07/14/20,7267,7404,321,7,0
All King County,30-39,394262.07,07/08/20 - 07/14/20,6492,6613,235,7,0
All King County,40-49,296609.58,07/08/20 - 07/14/20,3953,4024,147,12,0
All King County,50-59,270375.02,07/08/20 - 07/14/20,3914,4008,117,16,0
All King County,60-69,219475.51,07/08/20 - 07/14/20,3062,3131,89,12,0
All King County,70-79,122090.34,07/08/20 - 07/14/20,1658,1710,26,6,4
All King County,80+,61987.13,07/08/20 - 07/14/20,855,911,15,6,8
All King County,Unknown,0,07/08/20 - 07/14/20,12,12,1,0,0
All King County,0-9,257228.65,07/15/20 - 07/21/20,978,981,67,0,0
All King County,10-19,254148.03,07/15/20 - 07/21/20,2354,2408,142,0,0
All King County,20-29,207537.14,07/15/20 - 07/21/20,8609,8828,316,2,0
All King County,30-39,394262.07,07/15/20 - 07/21/20,7822,8024,271,6,0
All King County,40-49,296609.58,07/15/20 - 07/21/20,4791,4886,190,9,0
All King County,50-59,270375.02,07/15/20 - 07/21/20,4632,4723,157,10,0
All King County,60-69,219475.51,07/15/20 - 07/21/20,3560,3657,77,14,3
All King County,70-79,122090.34,07/15/20 - 07/21/20,2061,2135,47,10,2
All King County,80+,61987.13,07/15/20 - 07/21/20,1188,1253,32,4,3
All King County,Unknown,0,07/15/20 - 07/21/20,74,74,1,0,0
All King County,0-9,257228.65,07/22/20 - 07/28/20,1021,1028,84,2,0
All King County,10-19,254148.03,07/22/20 - 07/28/20,2284,2345,116,0,0
All King County,20-29,207537.14,07/22/20 - 07/28/20,7815,8075,310,3,0
All King County,30-39,394262.07,07/22/20 - 07/28/20,7093,7298,240,8,0
All King County,40-49,296609.58,07/22/20 - 07/28/20,4459,4593,171,4,0
All King County,50-59,270375.02,07/22/20 - 07/28/20,4242,4344,164,8,2
All King County,60-69,219475.51,07/22/20 - 07/28/20,3278,3363,102,14,1
All King County,70-79,122090.34,07/22/20 - 07/28/20,2001,2088,42,7,0
All King County,80+,61987.13,07/22/20 - 07/28/20,1165,1252,30,8,7
All King County,Unknown,0,07/22/20 - 07/28/20,371,372,0,0,0
All King County,0-9,257228.65,07/29/20 - 08/04/20,1062,1071,75,1,0
All King County,10-19,254148.03,07/29/20 - 08/04/20,2435,2474,130,0,0
All King County,20-29,207537.14,07/29/20 - 08/04/20,8019,8417,218,5,0
All King County,30-39,394262.07,07/29/20 - 08/04/20,7115,7326,179,8,0
All King County,40-49,296609.58,07/29/20 - 08/04/20,4459,4596,123,11,0
All King County,50-59,270375.02,07/29/20 - 08/04/20,4160,4265,106,8,2
All King County,60-69,219475.51,07/29/20 - 08/04/20,3233,3339,99,18,1
All King County,70-79,122090.34,07/29/20 - 08/04/20,1896,1958,42,6,5
All King County,80+,61987.13,07/29/20 - 08/04/20,1287,1340,38,14,15
All King County,Unknown,0,07/29/20 - 08/04/20,126,127,1,0,0
All King County,0-9,257228.65,08/05/20 - 08/11/20,1255,1271,54,0,0
All King County,10-19,254148.03,08/05/20 - 08/11/20,2913,2990,161,0,0
All King County,20-29,207537.14,08/05/20 - 08/11/20,7728,8136,188,1,0
All King County,30-39,394262.07,08/05/20 - 08/11/20,7341,7598,189,3,0
All King County,40-49,296609.58,08/05/20 - 08/11/20,4797,4989,148,7,0
All King County,50-59,270375.02,08/05/20 - 08/11/20,4387,4545,137,10,2
All King County,60-69,219475.51,08/05/20 - 08/11/20,3406,3497,70,11,3
All King County,70-79,122090.34,08/05/20 - 08/11/20,2050,2116,41,10,3
All King County,80+,61987.13,08/05/20 - 08/11/20,1328,1390,27,11,9
All King County,Unknown,0,08/05/20 - 08/11/20,85,87,0,0,0
All King County,0-9,257228.65,08/12/20 - 08/18/20,1270,1285,49,0,0
All King County,10-19,254148.03,08/12/20 - 08/18/20,3100,3187,123,0,0
All King County,20-29,207537.14,08/12/20 - 08/18/20,8592,9040,193,4,0
All King County,30-39,394262.07,08/12/20 - 08/18/20,8088,8373,189,6,0
All King County,40-49,296609.58,08/12/20 - 08/18/20,5150,5344,162,4,1
